id,name,slug,url
7662,A1 PARTITION FAMILY ,a1-partition-family,https://www.scal.com.sg/memberlisting-details/7662-a1-partition-family
7952,A1 PARTITION PTE LTD,a1-partition-pte-ltd,https://www.scal.com.sg/memberlisting-details/7952-a1-partition-pte-ltd
3170,AACON PTE LTD,aacon-pte-ltd,https://www.scal.com.sg/memberlisting-details/3170-aacon-pte-ltd
5701,AAL ENGINEERING PTE LTD,aal-engineering-pte-ltd,https://www.scal.com.sg/memberlisting-details/5701-aal-engineering-pte-ltd
6945,ABB PTE LTD,abb-pte-ltd,https://www.scal.com.sg/memberlisting-details/6945-abb-pte-ltd
4301,ABELL ENG PTE LTD,abell-eng-pte-ltd,https://www.scal.com.sg/memberlisting-details/4301-abell-eng-pte-ltd
4302,ABLE FIRE CONTROL PTE LTD,able-fire-control-pte-ltd,https://www.scal.com.sg/memberlisting-details/4302-able-fire-control-pte-ltd
4303,ABSOLUTE AIR-CONDITIONING SERVICES,absolute-air-conditioning-services,https://www.scal.com.sg/memberlisting-details/4303-absolute-air-conditioning-services
4304,ABSOLUTE PLUMBING PTE LTD,absolute-plumbing-pte-ltd,https://www.scal.com.sg/memberlisting-details/4304-absolute-plumbing-pte-ltd
4305,ABW ENGINEERING,abw-engineering,https://www.scal.com.sg/memberlisting-details/4305-abw-engineering
50,ACCENOVATE ENGINEERING PTE LTD,accenovate-engineering-pte-ltd,https://www.scal.com.sg/memberlisting-details/50-accenovate-engineering-pte-ltd
5810,ACCESS CORP PTE LTD,access-corp-pte-ltd,https://www.scal.com.sg/memberlisting-details/5810-access-corp-pte-ltd
6177,ACCESS CORP PTE LTD,access-corp-pte-ltd,https://www.scal.com.sg/memberlisting-details/6177-access-corp-pte-ltd
51,ACCESS SYSTEMS TECHNOLOGY PTE LTD,access-systems-technology-pte-ltd,https://www.scal.com.sg/memberlisting-details/51-access-systems-technology-pte-ltd
5787,ACCESS SYSTEMS TECHNOLOGY PTE LTD,access-systems-technology-pte-ltd,https://www.scal.com.sg/memberlisting-details/5787-access-systems-technology-pte-ltd
5546,ACE 2 DESIGN & RENOVATION PTE LTD,ace-2-design-renovation-pte-ltd,https://www.scal.com.sg/memberlisting-details/5546-ace-2-design-renovation-pte-ltd
4306,ACE FOCUS PTE LTD,ace-focus-pte-ltd,https://www.scal.com.sg/memberlisting-details/4306-ace-focus-pte-ltd
4307,ACE M&E SERVICES PRIVATE LTD,ace-me-services-private-ltd,https://www.scal.com.sg/memberlisting-details/4307-ace-me-services-private-ltd
6378,ACEPAC CONSTRUCTION PTE LTD,acepac-construction-pte-ltd,https://www.scal.com.sg/memberlisting-details/6378-acepac-construction-pte-ltd
52,ACEPLP.COM PTE LTD,aceplpcom-pte-ltd,https://www.scal.com.sg/memberlisting-details/52-aceplpcom-pte-ltd
7781,ACJ PAINTING PTE LTD,acj-painting-pte-ltd,https://www.scal.com.sg/memberlisting-details/7781-acj-painting-pte-ltd
53,ACL CONSTRUCTION (S) PTE LTD,acl-construction-s-pte-ltd,https://www.scal.com.sg/memberlisting-details/53-acl-construction-s-pte-ltd
5920,ACQUAL ENGINEERING LLP,acqual-engineering-llp,https://www.scal.com.sg/memberlisting-details/5920-acqual-engineering-llp
5559,ACRE WORKS SDN BHD (SINGAPORE BRANCH),acre-works-sdn-bhd-singapore-branch,https://www.scal.com.sg/memberlisting-details/5559-acre-works-sdn-bhd-singapore-branch
6054,ACRES WORKS AND ENGINEERING PTE LTD,acres-works-and-engineering-pte-ltd,https://www.scal.com.sg/memberlisting-details/6054-acres-works-and-engineering-pte-ltd
4822,ACTION ELECTRICAL WORKS,action-electrical-works,https://www.scal.com.sg/memberlisting-details/4822-action-electrical-works
4310,ACTION PRO PLUMBING CONTRACTOR PTE LTD,action-pro-plumbing-contractor-pte-ltd,https://www.scal.com.sg/memberlisting-details/4310-action-pro-plumbing-contractor-pte-ltd
55,ACTUS BUILDERS PTE LTD,actus-builders-pte-ltd,https://www.scal.com.sg/memberlisting-details/55-actus-builders-pte-ltd
4312,AD FURNISHING PTE. LTD.,ad-furnishing-pte-ltd,https://www.scal.com.sg/memberlisting-details/4312-ad-furnishing-pte-ltd
4313,ADA PLUMBING & TRADING PTE LTD,ada-plumbing-trading-pte-ltd,https://www.scal.com.sg/memberlisting-details/4313-ada-plumbing-trading-pte-ltd
4270,ADENN AIR-CON SERVICES & CONTROL PTE LTD,adenn-air-con-services-control-pte-ltd,https://www.scal.com.sg/memberlisting-details/4270-adenn-air-con-services-control-pte-ltd
4314,ADEPT SCAFFOLDS ENGINEERING PTE LTD,adept-scaffolds-engineering-pte-ltd,https://www.scal.com.sg/memberlisting-details/4314-adept-scaffolds-engineering-pte-ltd
