year,date,title,filename,url
2025,1 December 2025,"Circular On Agencies Service Standards For TOPCSC Inspection Arrangements And Post Inspection Response Time [PDF, 272 KB]",circular-on-agencies-service-standards-for-topcsc-inspection-arrangements-and-post-inspection-response-time_1-dec-2025.pdf,https://isomer-user-content.by.gov.sg/338/74e22853-6370-4044-9d57-e2ff699adb0d/circular-on-agencies-service-standards-for-topcsc-inspection-arrangements-and-post-inspection-response-time_1-dec-2025.pdf
2025,1 December 2025,"Circular on Guidance on naming of communal facilities and features in residential units in approved plans and marketing materials for greater clarity and transparency [PDF, 148 KB]",circular-guidance-on-naming-of-communal-facilities-and-features-in-residential-units-in-approved-plans-and-marketing-materials-for-greater-clarity-and-transparency.pdf,https://isomer-user-content.by.gov.sg/338/32b6902b-5457-4e94-94a5-051b7f2310d0/circular-guidance-on-naming-of-communal-facilities-and-features-in-residential-units-in-approved-plans-and-marketing-materials-for-greater-clarity-and-transparency.pdf
2025,1 December 2025,"Circular on Guideline on Ensuring Integrity of Sheet Pile Wall to Prevent Ground Loss [PDF, 2.6 MB]",guideline-on-ensuring-integrity-of-sheet-pile-wall-to-prevent-ground-loss-20251127.pdf,https://isomer-user-content.by.gov.sg/338/b4cc2066-8550-4565-a171-5b282fb4a9bc/guideline-on-ensuring-integrity-of-sheet-pile-wall-to-prevent-ground-loss-20251127.pdf
2025,1 December 2025,"Circular On Revision To Early Pre-Consultation Of Structural Concept For Complex Buildings And Introduction Of Fast-Tracking And Facilitating Scheme For Adoption Of Good Design Practices [PDF, 1.3 MB]",appbca-2025-27.pdf,https://isomer-user-content.by.gov.sg/338/1387c505-dbbb-4d3a-992c-1ef9904e3288/appbca-2025-27.pdf
2025,1 December 2025,"Circular on the Implementation of Automated Construction Productivity Data (CPD) Submission [PDF, 847 KB]",circular_automated-cpd-submission_final_1.pdf,https://isomer-user-content.by.gov.sg/338/d9db221d-fb1b-4682-96e8-6599869caf58/circular_automated-cpd-submission_final_1.pdf
2025,1 December 2025,"Circular On The Publication Of “Design Guide For Fibre‐Reinforced Concrete Structures To Singapore Standard SS 674:2021- Practical Examples And Design Aids” [PDF, 424 KB]",circular-appbca-2025-28-sfrc.pdf,https://isomer-user-content.by.gov.sg/338/1590f52b-e495-4154-a6ef-7c24476ff66b/circular-appbca-2025-28-sfrc.pdf
2025,21 November 2025,"Advisory to Town Councils on regular maintenance of buildings and responsibilities of buildings and responsibilities under the Building Control Act 1989 (“BC Act”) w.e.f. 1 October 2025 [PDF, 902 KB]",advisory-to-town-councils-on-regular-maintenance-of-buildings.pdf,https://isomer-user-content.by.gov.sg/338/e9ff1ed3-dafb-48fb-9978-1f381e5df28e/advisory-to-town-councils-on-regular-maintenance-of-buildings.pdf
2025,13 November 2025,"Circular on Launch of CONQUAS (Private Residential) [PDF, 325 KB]",circular-on-launch-of-conquas-(private-residential).pdf,https://isomer-user-content.by.gov.sg/338/63ac2885-6946-4fee-922c-3341881110d1/circular-on-launch-of-conquas-(private-residential).pdf
2025,12 November 2025,"Circular on Streamlined Fees [PDF, 410 KB]",circular-on-streamlined-plan-fees.pdf,https://isomer-user-content.by.gov.sg/338/2498e1f9-a622-4ecc-9389-0a6e764107b6/circular-on-streamlined-plan-fees.pdf
2025,21 October 2025,"Circular On Enhancements To Quality Fee Method (QFM) Framework And Standard Consultancy Agreement (SCA) Arising From The Recommendations Of The Taskforce For Architectural And Engineering Consultants (SCA) [PDF, 301 KB]",industry-circular_21-oct-2025-(effective-1-dec-2025).pdf,https://isomer-user-content.by.gov.sg/338/67c62b8d-6fa6-472d-99b6-1bd1fe4839df/industry-circular_21-oct-2025-(effective-1-dec-2025).pdf
2025,30 September 2025,"Circular on Updates to the Approved Document [PDF, 292 KB]",bca-circular-on-updates-to-the-approved-document.pdf,https://isomer-user-content.by.gov.sg/338/f219e284-0b08-4deb-a90f-5f870e034ec1/bca-circular-on-updates-to-the-approved-document.pdf
2025,30 September 2025,"Circular on Updates to the Approved Document [PDF, 299 KB]",circular-on-updates-to-the-approved-document.pdf,https://isomer-user-content.by.gov.sg/338/3a330cb4-865a-4f72-8c97-daa25ca6dcc4/circular-on-updates-to-the-approved-document.pdf
2025,16 September 2025,"Circular on Managing Agent Performance Rating Survey (Part 2 of 2) [PDF, 187 KB]",circular-on-managing-agent-performance-rating-survey-(part-2-of-2) .pdf,https://isomer-user-content.by.gov.sg/338/d360d44c-ed08-48fd-a34b-3a87ab07ff7d/circular-on-managing-agent-performance-rating-survey-(part-2-of-2)%20.pdf
2025,1 September 2025,"Circular on Guidelines for the Design and Construction of Bored Piles In Limestone Areas [PDF, 915 KB]",circular-on-guidelines-for-the-design-and-construction-of-bored-piles-in-limestone-areas.pdf,https://isomer-user-content.by.gov.sg/338/98e18a02-6b0b-429f-8c43-d4410f5d6a09/circular-on-guidelines-for-the-design-and-construction-of-bored-piles-in-limestone-areas.pdf
2025,1 September 2025,"Circular on Guidelines for Use of Drainage Blanket Beneath Base Slab [PDF, 286 KB]",guidelines-for-use-of-drainage-blanket-beneath-base-slab-v2.pdf,https://isomer-user-content.by.gov.sg/338/c7a4aab3-a3c8-4694-8d50-4ad91bc63018/guidelines-for-use-of-drainage-blanket-beneath-base-slab-v2.pdf
2025,1 September 2025,"Circular on Guidelines on Requirements For Site Investigation Reports [PDF, 852 KB]",circular-on-guidelines-on-requirements-for-site-investigation-reports.pdf,https://isomer-user-content.by.gov.sg/338/2d45342d-878f-407b-848c-1ff1a00c9fae/circular-on-guidelines-on-requirements-for-site-investigation-reports.pdf
2025,1 September 2025,"Circular on MA Performance Rating Survey (Part 1) [PDF, 156 KB]",circular-on-ma-performance-rating-survey-(part-1).pdf,https://isomer-user-content.by.gov.sg/338/fc349219-4095-4c99-b0f4-32895e4d79e6/circular-on-ma-performance-rating-survey-(part-1).pdf
2025,1 September 2025,"Circular on Revised SS EN 206:2014(2024)+A1:2024 and SS 544:2024 Parts 1 & 2 [PDF, 304 KB]",appbca-2025-19-ss-en-206-ss-544.pdf,https://isomer-user-content.by.gov.sg/338/40cb90ca-6488-472f-8fdb-459e0b88db61/appbca-2025-19-ss-en-206-ss-544.pdf
2025,1 September 2025,"Circular on Revised Standard – SS EN 13791:2024 Assessment of In-Situ Compressive Strength in Structures and Precast Concrete Components [PDF, 265 KB]",circular-on-ss-en-13791-2024.pdf,https://isomer-user-content.by.gov.sg/338/53194b50-206e-4a67-a400-805763a672c3/circular-on-ss-en-13791-2024.pdf
2025,1 September 2025,"Circular on Submission of Lightning Protection System Plans [PDF, 328 KB]",circular-on-submission-of-lightning-protection-system-plans.pdf,https://isomer-user-content.by.gov.sg/338/95c59b3e-c98b-44aa-904b-e5669f2eb453/circular-on-submission-of-lightning-protection-system-plans.pdf
2025,15 August 2025,"Circular on Launch of NEC4 Y(SG), W and Z Clauses for NEC4 Facilities Management Contract (FMC) [PDF, 168 KB]",circular-on-launch-of-nec4-y(sg)-w-and-z-clauses-for-nec4-facilities-management-contract-(fmc).pdf,https://isomer-user-content.by.gov.sg/338/43f07816-7741-42ad-af0b-8d3b8e3fd8a3/circular-on-launch-of-nec4-y(sg)-w-and-z-clauses-for-nec4-facilities-management-contract-(fmc).pdf
2025,16 June 2025,"Circular on Revised Implementation Date for Building Control Regulations for Fixed Installations and Exterior Features [PDF, 137 KB]",circular-on-revised-implementation-date-for-building-control-regulations-for-fixed-installations-and-exterior-features.pdf,https://isomer-user-content.by.gov.sg/338/c4baf0f7-53f4-4d37-ba6b-c1bd1b7f6505/circular-on-revised-implementation-date-for-building-control-regulations-for-fixed-installations-and-exterior-features.pdf
